ref_date,geo,reg_status,prog_level,program_class,sex,value
1993/1994,Canada,"Total, registration status",Graduate level,"Architecture, engineering and related technologies",Males,10281
1993/1994,Canada,"Total, registration status",Graduate level,"Architecture, engineering and related technologies",Females,2412
1993/1994,Canada,"Total, registration status",Graduate level,"Agriculture, natural resources and conservation",Both sexes,3327
1993/1994,Canada,"Total, registration status",Graduate level,"Agriculture, natural resources and conservation",Males,2070
1993/1994,Canada,"Total, registration status",Graduate level,"Agriculture, natural resources and conservation",Females,1257
1993/1994,Canada,"Total, registration status",Graduate level,"Health, parks, recreation and fitness",Both sexes,14310
1993/1994,Canada,"Total, registration status",Graduate level,"Health, parks, recreation and fitness",Males,7134
1993/1994,Canada,"Total, registration status",Graduate level,"Health, parks, recreation and fitness",Females,7176
1993/1994,Canada,"Total, registration status",Graduate level,"Personal, protective and transportation services",Both sexes,111
1993/1994,Canada,"Total, registration status",Graduate level,"Personal, protective and transportation services",Males,96
1993/1994,Canada,"Total, registration status",Graduate level,"Personal, protective and transportation services",Females,15
1993/1994,Canada,"Total, registration status",Graduate level,Other instructional programs,Both sexes,786
1993/1994,Canada,"Total, registration status",Graduate level,Other instructional programs,Males,282
1993/1994,Canada,"Total, registration status",Graduate level,Other instructional programs,Females,504
1993/1994,Canada,"Total, registration status",Master's degree,"Total, instructional programs",Both sexes,69942
1993/1994,Canada,"Total, registration status",Master's degree,"Total, instructional programs",Males,35208
1993/1994,Canada,"Total, registration status",Master's degree,"Total, instructional programs",Females,34734
1993/1994,Canada,"Total, registration status",Master's degree,Education,Both sexes,12231
1993/1994,Canada,"Total, registration status",Master's degree,Education,Males,3612
1993/1994,Canada,"Total, registration status",Master's degree,Education,Females,8622
1993/1994,Canada,"Total, registration status",Master's degree,Visual and performing arts and communications technologies,Both sexes,1719
1993/1994,Canada,"Total, registration status",Master's degree,Visual and performing arts and communications technologies,Males,666
1993/1994,Canada,"Total, registration status",Master's degree,Visual and performing arts and communications technologies,Females,1053
1993/1994,Canada,"Total, registration status",Master's degree,Humanities,Both sexes,7164
1993/1994,Canada,"Total, registration status",Master's degree,Humanities,Males,3396
1993/1994,Canada,"Total, registration status",Master's degree,Humanities,Females,3771
1993/1994,Canada,"Total, registration status",Master's degree,Social and behavioural sciences and law,Both sexes,9213
1993/1994,Canada,"Total, registration status",Master's degree,Social and behavioural sciences and law,Males,4215
1993/1994,Canada,"Total, registration status",Master's degree,Social and behavioural sciences and law,Females,4998
1993/1994,Canada,"Total, registration status",Master's degree,"Business, management and public administration",Both sexes,14400
1993/1994,Canada,"Total, registration status",Master's degree,"Business, management and public administration",Males,8388
1993/1994,Canada,"Total, registration status",Master's degree,"Business, management and public administration",Females,6015
1993/1994,Canada,"Total, registration status",Master's degree,Physical and life sciences and technologies,Both sexes,5943
1993/1994,Canada,"Total, registration status",Master's degree,Physical and life sciences and technologies,Males,3471
1993/1994,Canada,"Total, registration status",Master's degree,Physical and life sciences and technologies,Females,2469
1993/1994,Canada,"Total, registration status",Master's degree,"Mathematics, computer and information sciences",Both sexes,3126
1993/1994,Canada,"Total, registration status",Master's degree,"Mathematics, computer and information sciences",Males,1863
1993/1994,Canada,"Total, registration status",Master's degree,"Mathematics, computer and information sciences",Females,1266
1993/1994,Canada,"Total, registration status",Master's degree,"Architecture, engineering and related technologies",Both sexes,8403
1993/1994,Canada,"Total, registration status",Master's degree,"Architecture, engineering and related technologies",Males,6522
1993/1994,Canada,"Total, registration status",Master's degree,"Architecture, engineering and related technologies",Females,1881
1993/1994,Canada,"Total, registration status",Master's degree,"Agriculture, natural resources and conservation",Both sexes,2184
1993/1994,Canada,"Total, registration status",Master's degree,"Agriculture, natural resources and conservation",Males,1272
1993/1994,Canada,"Total, registration status",Master's degree,"Agriculture, natural resources and conservation",Females,909
1993/1994,Canada,"Total, registration status",Master's degree,"Health, parks, recreation and fitness",Both sexes,5070
1993/1994,Canada,"Total, registration status",Master's degree,"Health, parks, recreation and fitness",Males,1593
1993/1994,Canada,"Total, registration status",Master's degree,"Health, parks, recreation and fitness",Females,3474
1993/1994,Canada,"Total, registration status",Master's degree,"Personal, protective and transportation services",Both sexes,81
1993/1994,Canada,"Total, registration status",Master's degree,"Personal, protective and transportation services",Males,72
1993/1994,Canada,"Total, registration status",Master's degree,"Personal, protective and transportation services",Females,9
1993/1994,Canada,"Total, registration status",Master's degree,Other instructional programs,Both sexes,408
1993/1994,Canada,"Total, registration status",Master's degree,Other instructional programs,Males,138
1993/1994,Canada,"Total, registration status",Master's degree,Other instructional programs,Females,267
1993/1994,Canada,"Total, registration status",Doctorate,"Total, instructional programs",Both sexes,26475
1993/1994,Canada,"Total, registration status",Doctorate,"Total, instructional programs",Males,16500
1993/1994,Canada,"Total, registration status",Doctorate,"Total, instructional programs",Females,9972
